destination_contract,interaction_count,unique_safe_wallets,first_interaction_date,last_interaction_date,label,contract_type,token_symbol,custom_label
0x9008D19F58AABD9ED0D60971565AA8510560AB41,42181,4939,2021-10-27,2025-06-10,GPv2Settlement,Other Contract,,cow-protocol
0xB3E937A36513E94EF941A8C184FE823F515DCF92,23618,1,2022-06-07,2024-04-17,Label not found,Not a Verified Contract,,
0xC36442B4A4522E871399CD717ABDD847AB11FE88,18715,1374,2021-05-06,2025-06-09,NonfungiblePositionManager,Other Contract,,token-contract
0x68B3465833FB72A70ECDF485E0E4C7BD8665FC45,12379,3336,2021-12-16,2025-04-25,SwapRouter02,Other Contract,,dex
0x2EE96CF53AE5FBD5309284704F978D0CA66CB963,9815,1459,2024-08-02,2025-06-09,RecipeExecutor,Other Contract,,
0xB8E6D31E7B212B2B7250EE9C26C56CEBBFBE6B23,8235,1,2022-07-26,2025-06-09,ERC1967Proxy,Other Contract,,kucoin
0x6F400810B62DF8E13FDED51BE75FF5393EAA841F,7822,1107,2020-01-27,2022-06-17,BatchExchange,Other Contract,,dex
0x3FC91A3AFD70395CD496C647D5A6CC9D4B2B7FAD,7226,2060,2023-05-29,2025-05-01,UniversalRouter,Other Contract,,dex
0x7D2768DE32B0B80B7A3454C06BDAC94A69DDC7A9,6181,676,2021-01-29,2025-06-04,InitializableImmutableAdminUpgradeabilityProxy,Other Contract,,aave
0xA0B937D5C8E32A80E3A8ED4227CD020221544EE6,5424,3269,2022-09-28,2025-06-09,Airdrop,Other Contract,,safe-formerly-gnosis-safe
0x7A250D5630B4CF539739DF2C5DACB4C659F2488D,5159,957,2020-06-08,2025-06-09,UniswapV2Router02,Other Contract,,dex
0x51C72848C68A965F66FA7A88855F9F7784502A7F,4491,1,2023-08-17,2025-06-09,Label not found,Not a Verified Contract,,
0x308861A430BE4CCE5502D0A12724771FC6DAF216,4448,191,2023-07-18,2025-06-09,UUPSProxy,Other Contract,,
0xD9E1CE17F2641F24AE83637AB66A2CCA9C378B9F,4260,1173,2020-09-28,2025-04-24,UniswapV2Router02,Other Contract,,sushiswap
0x888888888889758F76E7103C6CBF23ABBF58F946,3912,564,2024-05-02,2025-06-10,PendleRouterV4,Other Contract,,
0x03261A78402C139DC73346F13CD2CB301105EFA3,3664,1,2024-02-29,2025-06-09,TransparentUpgradeableProxy,Other Contract,,
0xA03400E098F4421B34A3A44A1B4E571419517687,3662,1,2023-11-25,2025-06-10,Label not found,Not a Verified Contract,,
0xDEF171FE48CF0115B1D80B88DC8EAB59176FEE57,3524,784,2021-08-23,2025-01-24,AugustusSwapper,Other Contract,,
0x4976FB03C32E5B8CFE2B6CCB31C09BA78EBABA41,3448,1670,2020-10-27,2025-06-08,PublicResolver,Other Contract,,ens
0x283AF0B28C62C092C9727F1EE09C02CA627EB7F5,3291,1313,2020-03-13,2025-05-15,ETHRegistrarController,Other Contract,,ens
0x5954AB967BC958940B7EB73EE84797DC8A2AFBB9,3216,126,2022-12-05,2025-04-30,ApeCoinStaking,Other Contract,,staking
0xBA12222222228D8BA445958A75A0704D566BF2C8,3179,683,2021-05-17,2025-06-09,Vault,Other Contract,,balancer
0xFDAFC9D1902F4E0B84F65F49F244B32B31013B74,3085,651,2023-08-20,2025-06-10,ComposableCoW,Other Contract,,
0xE592427A0AECE92DE3EDEE1F18E0157C05861564,3066,774,2021-05-06,2025-05-15,SwapRouter,Other Contract,,dex
0x1111111254EEB25477B68FB85ED929F73A960582,3010,1042,2022-11-15,2025-04-23,AggregationRouterV5,Other Contract,,1inch
0x370DE27FDB7D1FF1E1BAA7D11C5820A324CF623C,2939,214,2021-02-25,2025-06-09,ERC20FeeProxy,Other Contract,,
0x5029336642814BC51A42BA80BF83A6322110035D,2788,580,2024-03-28,2024-08-16,RecipeExecutor,Other Contract,,
0xCD18EAA163733DA39C232722CBC4E8940B1D8888,2751,153,2021-07-13,2025-05-31,Sablier,Other Contract,,sablier
0x532F0B30D65D9CFB01851184D9772C487DC6FBAA,2738,1,2024-05-16,2025-06-09,TransparentUpgradeableProxy,Other Contract,,
0x3CF63891928B8CEEBB81C95426600A18CD59C03F,2667,144,2022-10-28,2025-06-09,BatchConversionPayments,Other Contract,,
0xAB13B8EECF5AA2460841D75DA5D5D861FD5B8A39,2662,1975,2024-03-15,2025-05-28,TransparentUpgradeableProxy,Other Contract,,
0xCA258D51A825C82D16CE54DC61B8ABC95021D17B,2655,1,2023-07-01,2025-05-13,Label not found,Not a Verified Contract,,
0x57F1887A8BF19B14FC0DF6FD9B2ACC9AF147EA85,2623,1427,2020-02-03,2025-06-08,BaseRegistrarImplementation,Other Contract,,ens
0x084B1C3C81545D370F3634392DE611CAABFF8148,2592,2218,2020-02-14,2024-01-16,ReverseRegistrar,Other Contract,,ens
0x0000BBDDC7CE488642FB579F8B00F3A590007251,2480,49,2025-05-07,2025-06-09,Label not found,Not a Verified Contract,,
0x1111111254FB6C44BAC0BED2854E76F90643097D,2412,781,2021-11-10,2024-02-27,AggregationRouterV4,Other Contract,,1inch
0x469788FE6E9E9681C6EBF3BF78E7FD26FC015446,2377,1773,2020-11-05,2025-06-06,DelegateRegistry,Other Contract,,
0x6F3E6272A167E8ACCB32072D08E0957F9C79223D,2358,54,2021-08-19,2025-06-09,NounsDAOProxy,Other Contract,,
0xB16DF6F4A58ECB26FAB8E09A5195C062A08E21BC,2342,2,2024-11-09,2025-06-09,TransparentUpgradeableProxy,Other Contract,,
0x55032650B14DF07B85BF18A3A3EC8E0AF2E028D5,2334,13,2021-08-31,2025-02-14,AppProxyUpgradeable,Other Contract,,staking
0xF403C135812408BFBE8713B5A23A04B3D48AAE31,2245,439,2021-05-21,2025-06-09,Booster,Other Contract,,convex-finance
0x4095F064B8D3C3548A3BEBFD0BBFD04750E30077,2204,528,2024-04-09,2025-06-08,EthereumBundlerV2,Other Contract,,
0x38869BF66A61CF6BDB996A6AE40D5853FD43B526,2188,310,2023-06-12,2025-06-10,MultiSend,Other Contract,,
0xEF1C6E67703C7BD7107EED8303FBE6EC2554BF6B,2085,810,2022-12-06,2023-06-20,UniversalRouter,Other Contract,,dex
0xDEF1C0DED9BEC7F1A1670819833240F027B25EFF,1994,564,2020-08-05,2025-06-05,ZeroEx,Other Contract,,0x-protocol
0xFBDDADD80FE7BDA00B901FBAF73803F2238AE655,1940,7,2021-10-12,2022-08-20,AdminUpgradeabilityProxy,Other Contract,,strongblock
0x11111112542D85B3EF69AE05771C2DCCFF4FAA26,1920,355,2021-03-18,2022-07-25,AggregationRouterV3,Other Contract,,1inch
0x332B8C9734B4097DE50F302F7D9F273FFDB45B84,1902,47,2019-07-14,2024-01-18,GenesisProtocol,Other Contract,,
0x253553366DA8546FC250F225FE3D25D0C782303B,1813,861,2023-04-24,2025-06-09,ETHRegistrarController,Other Contract,,
0x231B0EE14048E9DCCD1D247744D114A4EB5E8E63,1794,853,2023-03-28,2025-06-08,PublicResolver,Other Contract,,
0x00000000000C2E074EC69A0DFB2997BA6C7D2E1E,1766,649,2020-02-05,2025-06-08,ENSRegistryWithFallback,Other Contract,,ens
0xDD9BC35AE942EF0CFA76930954A156B3FF30A4E1,1640,85,2023-09-11,2025-06-09,ERC1967Proxy,Other Contract,,
0xE72ECEA44B6D8B2B3CF5171214D9730E86213CA2,1612,178,2021-04-29,2025-06-09,ERC20ConversionProxy,Other Contract,,
0xA58E81FE9B61B5C3FE2AFD33CF304C454ABFC7CB,1565,1308,2023-04-07,2025-06-09,ReverseRegistrar,Other Contract,,ens
0x72A19342E8F1838460EBFCCEF09F6585E32DB86E,1554,101,2022-03-04,2025-06-09,CvxLockerV2,Other Contract,,
0x00000000006C3852CBEF3E08E8DF289169EDE581,1511,295,2022-06-15,2023-03-31,Seaport,Other Contract,,
0x3A23F943181408EAC424116AF7B7790C94CB97A5,1510,668,2023-03-28,2025-06-09,SocketGateway,Other Contract,,bridge
0x7BE8076F4EA4A4AD08075C2508E481D6C946D12B,1484,312,2021-03-29,2022-02-24,WyvernExchange,Other Contract,,collectibles
0xC2CE4123C8A4A8519C84541D668E743B98B6FCE1,1321,2,2021-06-19,2025-06-09,AdminUpgradeabilityProxy,Other Contract,,
