address,amount_of_times_interacted_with,custom_label,label,contract_type,token_symbol
0x8629bcd3b8a90fd7247f0c0e0e1434c69dadcca7,6033,,Create2ForwarderFactory,Other Contract,
0x9008d19f58aabd9ed0d60971565aa8510560ab41,3988,cow-protocol,GPv2Settlement,Other Contract,
0x0000bbddc7ce488642fb579f8b00f3a590007251,2309,,Label not found,Not a Verified Contract,
0xf8dff673b555a225e149218c5005fc88f4a13870,1618,,MainnetController,Other Contract,
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1187,aave,InitializableImmutableAdminUpgradeabilityProxy,Other Contract,
0x6c6f5b091bc50a6cb62e55b5c1eb7455205d2880,1071,,TransparentUpgradeableProxy,Other Contract,
0x2ee96cf53ae5fbd5309284704f978d0ca66cb963,958,,RecipeExecutor,Other Contract,
0xc36442b4a4522e871399cd717abdd847ab11fe88,550,token-contract,NonfungiblePositionManager,Other Contract,
0x888888888889758f76e7103c6cbf23abbf58f946,492,,PendleRouterV4,Other Contract,
0x6566194141eefa99af43bb5aa71460ca2dc90245,481,,Bundler3,Other Contract,
0xd0a07a76746707f6d6d36d9d5897b14a8e9ed493,456,,PVComicBurn,Other Contract,
0x308861a430be4cce5502d0a12724771fc6daf216,446,,UUPSProxy,Other Contract,
0xa0b937d5c8e32a80e3a8ed4227cd020221544ee6,376,safe-formerly-gnosis-safe,Airdrop,Other Contract,
0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,369,,LiFiDiamond,Other Contract,
0xb16df6f4a58ecb26fab8e09a5195c062a08e21bc,330,,TransparentUpgradeableProxy,Other Contract,
0xdd9bc35ae942ef0cfa76930954a156b3ff30a4e1,319,,ERC1967Proxy,Other Contract,
0x6cae28b3d09d8f8fc74ccd496ac986fc84c0c24e,314,,ERC1967Proxy,Other Contract,
0xc0fde70a65c7569fe919be57492228dee8cdb585,300,safe-formerly-gnosis-safe,Airdrop,Other Contract,
0x1395d68ff98378760b266d66de30da94f5825717,238,,Roles,Other Contract,
0xfdafc9d1902f4e0b84f65f49f244b32b31013b74,236,,ComposableCoW,Other Contract,
0x8bb4c975ff3c250e0ceea271728547f3802b36fd,234,,ERC1967Proxy,Other Contract,
0xf9de2b1ff0c6ac32e3ec211af76e8185c62812fa,227,,Roles,Other Contract,
0x5fdad504e7895de9018a1e526c1a27823e346868,226,,Roles,Other Contract,
0x335eeef8e93a7a757d9e7912044d9cd264e2b2d8,225,,SadGirlsBar,Other Contract,
0x3cf63891928b8ceebb81c95426600a18cd59c03f,205,,BatchConversionPayments,Other Contract,
0xc58212bd2cc5d60cb89e980713461be027389b2c,200,,RPDFoundersPass,Other Contract,
0xca0c6b264f0f9958ec186eb2eaa208966187d866,186,,ERC1967Proxy,Other Contract,
0x0c9a3dd6b8f28529d72d7f9ce918d493519ee383,181,,EthereumVaultConnector,Other Contract,
0x0a992d191deec32afe36203ad87d7d289a738f81,177,,MessageTransmitter,Other Contract,
0xcafea54f03e1cc036653444e581a10a43b2487cd,163,nexus-mutual,OwnedUpgradeabilityProxy,Other Contract,
0x78edcb307ac1d1f8f5fd070b377a6e69c8dcfc34,160,,StrategyProxy,Other Contract,
0x34ae0321aa0ab4cf288925072ba3b1c9b49f1cc1,155,,Roles,Other Contract,
0xfe11047a60d7785cf5739d469fe40483b58a6594,154,,Roles,Other Contract,
0x532f0b30d65d9cfb01851184d9772c487dc6fbaa,153,,TransparentUpgradeableProxy,Other Contract,
0x0a3bd90a5a1e52c2900c863bd2b37c3bf65ee310,153,,TimelockControllerEnumerable,Other Contract,
0x6dc6001535e15b9def7b0f6a20a2111dfa9454e2,152,,MetaHero,Other Contract,
0xa03400e098f4421b34a3a44a1b4e571419517687,150,,Label not found,Not a Verified Contract,
0x370de27fdb7d1ff1e1baa7d11c5820a324cf623c,149,,ERC20FeeProxy,Other Contract,
0xb8e6d31e7b212b2b7250ee9c26c56cebbfbe6b23,148,kucoin,ERC1967Proxy,Other Contract,
0x51c72848c68a965f66fa7a88855f9f7784502a7f,137,,Label not found,Not a Verified Contract,
0x000000000336701a9d410fbebe97c7299e48c50f,135,,Label not found,Not a Verified Contract,
0x66a9893cc07d91d95644aedd05d03f95e1dba8af,129,,UniversalRouter,Other Contract,
0x7079ba1bd00eefcd2a260bbd6d088230505e3858,129,,AaveV3Borrow,Other Contract,
0x3c2f6b6c188e1e9474b51e001cf01366ef88727c,128,,Roles,Other Contract,
0x7bc1e07cdfa283db7cf3c680d16ca7f161a64046,126,,TPLRevealedParts,Other Contract,
0x481aeeb9bdfe08f050d22f0b352356691c4b0b59,121,,ERC1967Proxy,Other Contract,
0x1ca12290d954cfe022323b6a6df92113ed6b1c98,120,,RollupProxy,Other Contract,
0xc4f7b37be2bbbcf07373f28c61b1a259dfe49d2a,120,,RollupProxy,Other Contract,
0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,119,,ERC1967Proxy,Other Contract,
0x7cbb62eaa69f79e6873cd1ecb2392971036cfaa4,119,safe-formerly-gnosis-safe,CreateCall,Other Contract,
0x80adb36595239fe918c7d118c1f81e07d070801a,111,,HeavenComputer,Other Contract,
0x000000000000addb49795b0f9ba5bc298cdda236,110,,ModuleProxyFactory,Other Contract,
0xd01607c3c5ecaba394d8be377a08590149325722,110,,WrappedTokenGatewayV3,Other Contract,
0x111111125421ca6dc452d289314280a0f8842a65,108,1inch,AggregationRouterV6,Other Contract,
0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,104,,BoredApeYachtClub,Other Contract,
0x5e532f7b610618ee73c2b462978e94cb1f7995ce,104,,TransparentUpgradeableProxy,Other Contract,
